priority,slug,title,published,years_old,words,practice_area,why
5,navigating-through-your-courtroom-appearance,Navigating Through Your Courtroom Appearance,2016-09-15,9,301,violent-crimes,"thin, 9y old"
5,when-is-a-texas-dwi-a-felony,When is a Texas DWI a Felony?,2018-08-07,8,309,dwi-defense,"thin, 8y old"
5,second-dwi-penalties-in-texas,Second DWI Penalties in Texas,2019-10-16,6,313,dwi-defense,"thin, 6y old"
5,what-is-supervised-release-in-federal-cases,What is Supervised Release in Federal Cases?,2018-11-07,7,317,federal-crimes,"thin, 7y old"
5,filing-a-motion-to-suppress-in-texas,Filing a Motion to Suppress in Texas,2020-03-11,6,326,violent-crimes,"thin, 6y old"
5,what-to-do-when-pulled-over-for-a-dwi,What To Do When Pulled Over For a DWI,2016-05-12,10,327,violent-crimes,"thin, 10y old"
5,aggravated-assault-charges-in-dallas,Aggravated Assault Charges in Dallas,2017-11-08,8,329,violent-crimes,"thin, 8y old"
5,when-can-police-search-my-home-without-a-warrant,When Can Police Search My Home Without a Warrant?,2016-06-09,10,337,violent-crimes,"thin, 10y old"
5,understanding-implied-consent-in-texas,Understanding Implied Consent in Texas,2016-07-12,10,338,dwi-defense,"thin, 10y old"
5,what-is-identity-theft,What is Identity Theft?,2019-06-04,7,339,white-collar-crimes,"thin, 7y old"
5,texas-underage-drinking-law,Texas’ Underage Drinking Law,2020-04-15,6,340,dwi-defense,"thin, 6y old"
5,can-i-get-a-u-s-passport-with-a-dwi,Can I Get a U.S. Passport with a DWI?,2018-10-04,7,347,dwi-defense,"thin, 7y old"
4,who-gets-charged-with-embezzlement-in-dallas-fort-worth,Who gets charged with embezzlement in Dallas-Fort Worth?,2023-05-04,3,290,white-collar-crimes,"thin, 3y old"
4,underage-dwi-in-texas,Underage DWI in Texas,2021-10-20,4,315,dwi-defense,"thin, 4y old"
4,connection-between-covid-19-domestic-violence,Connection Between COVID-19 & Domestic Violence,2020-05-13,6,350,violent-crimes,"thin, 6y old"
4,community-supervision-in-dallas-county,Community Supervision in Dallas County,2018-07-16,8,353,violent-crimes,"thin, 8y old"
4,identity-theft-charges-in-texas,Identity Theft Charges in Texas,2017-08-16,9,356,federal-crimes,"thin, 9y old"
4,third-dwi-penalties-in-texas,Third DWI Penalties in Texas,2020-02-12,6,357,dwi-defense,"thin, 6y old"
4,can-a-dwi-stop-me-from-owning-a-firearm,Can a DWI Stop Me from Owning a Firearm?,2018-06-12,8,357,dwi-defense,"thin, 8y old"
4,what-is-a-white-collar-crime,What is a White Collar Crime?,2020-01-13,6,359,federal-crimes,"thin, 6y old"
4,understanding-your-miranda-rights,Understanding Your Miranda Rights,2016-08-10,10,362,violent-crimes,"thin, 10y old"
4,renting-an-apartment-your-background-can-be-chec,Renting an Apartment? Your Background Can Be Checked,2018-09-04,7,381,violent-crimes,"thin, 7y old"
4,effects-of-a-texas-dwi,Effects of a Texas DWI,2017-09-13,8,388,dwi-defense,"thin, 8y old"
4,can-a-dwi-lead-to-removal-proceedings,Can a DWI Lead to Removal Proceedings?,2019-07-16,7,391,drug-crimes,"thin, 7y old"
4,can-you-get-a-dwi-for-prescription-drugs-in-texa,Can You Get a DWI for Prescription Drugs in Texas?,2019-12-16,6,399,dwi-defense,"thin, 6y old"
4,mortgage-fraud-charges-in-texas,Mortgage Fraud Charges in Texas,2017-10-10,8,403,white-collar-crimes,"thin, 8y old"
4,grand-theft-auto-texas,Grand Theft Auto Texas,2018-01-08,8,405,white-collar-crimes,"thin, 8y old"
4,what-is-community-supervision,What is Community Supervision?,2017-07-24,9,439,violent-crimes,"thin, 9y old"
4,what-are-the-penalties-for-assault-in-texas,What Are the Penalties for Assault in Texas?,2019-08-13,7,441,violent-crimes,"thin, 7y old"
3,ive-been-arrested,I’ve Been Arrested In Dallas. Now What?,2025-01-09,1,246,violent-crimes,"thin, recent"
3,sex-offender-registry-reporting-requirements-in,Sex Offender Registry Reporting Requirements in Texas,2021-12-14,4,399,sexual-offenses,"thin, 4y old"
3,texas-misdemeanors-vs-felonies,Texas Misdemeanors vs. Felonies,2021-11-15,4,429,violent-crimes,"thin, 4y old"
3,why-innocent-people-get-charged-with-child-porno,Why Innocent People Get Charged with Child Pornography,2016-04-21,10,453,sexual-offenses,10y old
3,traveling-abroad-with-a-recent-felony-conviction,Traveling Abroad with a Recent Felony Conviction,2019-11-08,6,514,federal-crimes,6y old
2,three-indirect-impacts-of-a-conviction-for-a-sex-crime,Three indirect impacts of a conviction for a sex crime,2024-11-19,1,350,sexual-offenses,"thin, recent"
2,how-do-prosecutors-prove-that-someone-is-embezzling,How do prosecutors prove that someone is embezzling?,2023-09-20,2,383,white-collar-crimes,"thin, recent"
2,avoid-probation-violations-in-texas,Avoid probation violations in Texas,2024-04-24,2,405,violent-crimes,"thin, recent"
2,what-factors-determine-if-you-can-be-released-on-bail,What factors determine if you can be released on bail?,2024-12-17,1,409,violent-crimes,"thin, recent"
2,facing-fraud-charges-in-texas,Facing fraud charges in Texas,2023-11-21,2,417,white-collar-crimes,"thin, recent"
2,warrants-in-texas-what-you-need-to-know,Warrants in Texas: What You Need to Know,2025-01-04,1,424,violent-crimes,"thin, recent"
2,how-to-decide-whether-to-plead-guilty-or-not-guilty,How to decide whether to plead guilty or not guilty,2024-01-15,2,428,violent-crimes,"thin, recent"
